,date,payems
654,1992-09-01,108966
655,1992-10-01,109148
656,1992-11-01,109284
657,1992-12-01,109496
658,1993-01-01,109805
659,1993-02-01,110047
660,1993-03-01,109998
661,1993-04-01,110306
662,1993-05-01,110572
663,1993-06-01,110754
664,1993-07-01,111055
665,1993-08-01,111211
666,1993-09-01,111451
667,1993-10-01,111737
668,1993-11-01,112000
669,1993-12-01,112312
670,1994-01-01,112583
671,1994-02-01,112783
672,1994-03-01,113248
673,1994-04-01,113598
674,1994-05-01,113931
675,1994-06-01,114246
676,1994-07-01,114619
677,1994-08-01,114901
678,1994-09-01,115254
679,1994-10-01,115467
680,1994-11-01,115887
681,1994-12-01,116164
682,1995-01-01,116488
683,1995-02-01,116692
684,1995-03-01,116913
685,1995-04-01,117075
686,1995-05-01,117060
687,1995-06-01,117294
688,1995-07-01,117390
689,1995-08-01,117643
690,1995-09-01,117887
691,1995-10-01,118040
692,1995-11-01,118189
693,1995-12-01,118322
694,1996-01-01,118303
695,1996-02-01,118735
696,1996-03-01,119002
697,1996-04-01,119165
698,1996-05-01,119487
699,1996-06-01,119774
700,1996-07-01,120023
701,1996-08-01,120202
702,1996-09-01,120427
703,1996-10-01,120677
704,1996-11-01,120976
705,1996-12-01,121147
706,1997-01-01,121381
707,1997-02-01,121684
708,1997-03-01,122000
709,1997-04-01,122292
710,1997-05-01,122552
711,1997-06-01,122818
712,1997-07-01,123124
713,1997-08-01,123093
714,1997-09-01,123605
715,1997-10-01,123945
716,1997-11-01,124251
717,1997-12-01,124554
718,1998-01-01,124830
719,1998-02-01,125026
720,1998-03-01,125177
721,1998-04-01,125457
722,1998-05-01,125861
723,1998-06-01,126080
724,1998-07-01,126209
725,1998-08-01,126551
726,1998-09-01,126774
727,1998-10-01,126973
728,1998-11-01,127255
729,1998-12-01,127601
730,1999-01-01,127727
731,1999-02-01,128137
732,1999-03-01,128244
733,1999-04-01,128620
734,1999-05-01,128831
735,1999-06-01,129091
736,1999-07-01,129417
737,1999-08-01,129577
738,1999-09-01,129791
739,1999-10-01,130191
740,1999-11-01,130484
741,1999-12-01,130780
742,2000-01-01,131010
743,2000-02-01,131140
744,2000-03-01,131608
745,2000-04-01,131895
746,2000-05-01,132122
747,2000-06-01,132075
748,2000-07-01,132251
749,2000-08-01,132241
750,2000-09-01,132377
751,2000-10-01,132363
752,2000-11-01,132589
753,2000-12-01,132731
754,2001-01-01,132705
755,2001-02-01,132777
756,2001-03-01,132752
757,2001-04-01,132471
758,2001-05-01,132433
759,2001-06-01,132302
760,2001-07-01,132190
761,2001-08-01,132033
762,2001-09-01,131793
763,2001-10-01,131468
764,2001-11-01,131175
765,2001-12-01,131005
766,2002-01-01,130867
767,2002-02-01,130733
768,2002-03-01,130713
769,2002-04-01,130634
770,2002-05-01,130627
771,2002-06-01,130684
772,2002-07-01,130599
773,2002-08-01,130585
774,2002-09-01,130526
775,2002-10-01,130652
776,2002-11-01,130662
777,2002-12-01,130505
778,2003-01-01,130597
779,2003-02-01,130447
780,2003-03-01,130238
781,2003-04-01,130194
782,2003-05-01,130186
783,2003-06-01,130195
784,2003-07-01,130219
785,2003-08-01,130177
786,2003-09-01,130281
787,2003-10-01,130479
788,2003-11-01,130496
789,2003-12-01,130618
790,2004-01-01,130780
791,2004-02-01,130826
792,2004-03-01,131158
793,2004-04-01,131407
794,2004-05-01,131715
795,2004-06-01,131791
796,2004-07-01,131835
797,2004-08-01,131956
798,2004-09-01,132120
799,2004-10-01,132466
800,2004-11-01,132530
801,2004-12-01,132660
802,2005-01-01,132794
803,2005-02-01,133033
804,2005-03-01,133169
805,2005-04-01,133534
806,2005-05-01,133708
807,2005-06-01,133955
808,2005-07-01,134331
809,2005-08-01,134525
810,2005-09-01,134593
811,2005-10-01,134678
812,2005-11-01,135015
813,2005-12-01,135174
814,2006-01-01,135452
815,2006-02-01,135768
816,2006-03-01,136049
817,2006-04-01,136232
818,2006-05-01,136255
819,2006-06-01,136337
820,2006-07-01,136544
821,2006-08-01,136725
822,2006-09-01,136883
823,2006-10-01,136887
824,2006-11-01,137095
825,2006-12-01,137266
826,2007-01-01,137506
827,2007-02-01,137596
828,2007-03-01,137785
829,2007-04-01,137864
830,2007-05-01,138007
831,2007-06-01,138085
832,2007-07-01,138052
833,2007-08-01,138028
834,2007-09-01,138116
835,2007-10-01,138201
836,2007-11-01,138316
837,2007-12-01,138413
838,2008-01-01,138432
839,2008-02-01,138346
840,2008-03-01,138268
841,2008-04-01,138058
842,2008-05-01,137873
843,2008-06-01,137708
844,2008-07-01,137499
845,2008-08-01,137233
846,2008-09-01,136781
847,2008-10-01,136308
848,2008-11-01,135539
849,2008-12-01,134844
850,2009-01-01,134053
851,2009-02-01,133350
852,2009-03-01,132527
853,2009-04-01,131841
854,2009-05-01,131490
855,2009-06-01,131020
856,2009-07-01,130691
857,2009-08-01,130479
858,2009-09-01,130260
859,2009-10-01,130060
860,2009-11-01,130053
861,2009-12-01,129774
862,2010-01-01,129802
863,2010-02-01,129733
864,2010-03-01,129896
865,2010-04-01,130139
866,2010-05-01,130661
867,2010-06-01,130528
868,2010-07-01,130458
869,2010-08-01,130424
870,2010-09-01,130372
871,2010-10-01,130629
872,2010-11-01,130752
873,2010-12-01,130840
874,2011-01-01,130882
875,2011-02-01,131070
876,2011-03-01,131295
877,2011-04-01,131641
878,2011-05-01,131714
879,2011-06-01,131949
880,2011-07-01,132019
881,2011-08-01,132126
882,2011-09-01,132372
883,2011-10-01,132574
884,2011-11-01,132720
885,2011-12-01,132927
886,2012-01-01,133265
887,2012-02-01,133522
888,2012-03-01,133761
889,2012-04-01,133836
890,2012-05-01,133951
891,2012-06-01,134038
892,2012-07-01,134181
893,2012-08-01,134371
894,2012-09-01,134552
895,2012-10-01,134684
896,2012-11-01,134833
897,2012-12-01,135076
898,2013-01-01,135266
899,2013-02-01,135577
900,2013-03-01,135712
901,2013-04-01,135904
902,2013-05-01,136122
903,2013-06-01,136268
904,2013-07-01,136408
905,2013-08-01,136677
906,2013-09-01,136862
907,2013-10-01,137051
908,2013-11-01,137342
909,2013-12-01,137387
910,2014-01-01,137574
911,2014-02-01,137742
912,2014-03-01,138014
913,2014-04-01,138324
914,2014-05-01,138537
915,2014-06-01,138843
916,2014-07-01,139075
917,2014-08-01,139293
918,2014-09-01,139579
919,2014-10-01,139779
920,2014-11-01,140110
921,2014-12-01,140402
922,2015-01-01,140623
923,2015-02-01,140888
924,2015-03-01,140972
925,2015-04-01,141223
926,2015-05-01,141496
927,2015-06-01,141724
928,2015-07-01,142001
929,2015-08-01,142151
930,2015-09-01,142300
931,2015-10-01,142595
932,2015-11-01,142875
933,2015-12-01,143146
934,2016-01-01,143314
935,2016-02-01,143547
936,2016-03-01,143733
937,2016-04-01,143877
938,2016-05-01,143901
939,2016-06-01,144172
940,2016-07-01,144424
941,2016-08-01,144600
942,2016-09-01,144791
943,2016-10-01,144952
