date,date,payems,peak
1971-04-01,1971-04-01,71037,0
1971-05-01,1971-05-01,71247,0
1971-06-01,1971-06-01,71253,0
1971-07-01,1971-07-01,71315,0
1971-08-01,1971-08-01,71370,0
1971-09-01,1971-09-01,71617,0
1971-10-01,1971-10-01,71642,0
1971-11-01,1971-11-01,71846,0
1971-12-01,1971-12-01,72108,0
1972-01-01,1972-01-01,72445,0
1972-02-01,1972-02-01,72652,0
1972-03-01,1972-03-01,72945,0
1972-04-01,1972-04-01,73163,0
1972-05-01,1972-05-01,73467,0
1972-06-01,1972-06-01,73760,0
1972-07-01,1972-07-01,73708,0
1972-08-01,1972-08-01,74138,0
1972-09-01,1972-09-01,74263,0
1972-10-01,1972-10-01,74673,0
1972-11-01,1972-11-01,74967,0
1972-12-01,1972-12-01,75270,0
1973-01-01,1973-01-01,75621,0
1973-02-01,1973-02-01,76017,0
1973-03-01,1973-03-01,76285,0
1973-04-01,1973-04-01,76455,0
1973-05-01,1973-05-01,76646,0
1973-06-01,1973-06-01,76887,0
1973-07-01,1973-07-01,76911,0
1973-08-01,1973-08-01,77166,0
1973-09-01,1973-09-01,77276,0
1973-10-01,1973-10-01,77606,0
1973-11-01,1973-11-01,77912,1
1973-12-01,1973-12-01,78035,0
1974-01-01,1974-01-01,78104,0
1974-02-01,1974-02-01,78254,0
1974-03-01,1974-03-01,78296,0
1974-04-01,1974-04-01,78382,0
1974-05-01,1974-05-01,78547,0
1974-06-01,1974-06-01,78602,0
1974-07-01,1974-07-01,78635,0
1974-08-01,1974-08-01,78619,0
1974-09-01,1974-09-01,78611,0
1974-10-01,1974-10-01,78629,0
1974-11-01,1974-11-01,78261,0
1974-12-01,1974-12-01,77657,0
1975-01-01,1975-01-01,77297,0
1975-02-01,1975-02-01,76919,0
1975-03-01,1975-03-01,76649,0
1975-04-01,1975-04-01,76461,0
1975-05-01,1975-05-01,76623,0
1975-06-01,1975-06-01,76520,0
1975-07-01,1975-07-01,76769,0
1975-08-01,1975-08-01,77155,0
1975-09-01,1975-09-01,77230,0
1975-10-01,1975-10-01,77535,0
1975-11-01,1975-11-01,77680,0
1975-12-01,1975-12-01,78018,0
1976-01-01,1976-01-01,78506,0
1976-02-01,1976-02-01,78817,0
1976-03-01,1976-03-01,79049,0
1976-04-01,1976-04-01,79292,0
1976-05-01,1976-05-01,79311,0
1976-06-01,1976-06-01,79376,0
1976-07-01,1976-07-01,79547,0
1976-08-01,1976-08-01,79704,0
1976-09-01,1976-09-01,79892,0
1976-10-01,1976-10-01,79905,0
1976-11-01,1976-11-01,80237,0
1976-12-01,1976-12-01,80448,0
1977-01-01,1977-01-01,80692,0
1977-02-01,1977-02-01,80988,0
1977-03-01,1977-03-01,81391,0
1977-04-01,1977-04-01,81729,0
1977-05-01,1977-05-01,82089,0
1977-06-01,1977-06-01,82488,0
1977-07-01,1977-07-01,82836,0
1977-08-01,1977-08-01,83074,0
1977-09-01,1977-09-01,83532,0
1977-10-01,1977-10-01,83794,0
1977-11-01,1977-11-01,84173,0
1977-12-01,1977-12-01,84408,0
1978-01-01,1978-01-01,84595,0
1978-02-01,1978-02-01,84948,0
1978-03-01,1978-03-01,85461,0
1978-04-01,1978-04-01,86163,0
1978-05-01,1978-05-01,86509,0
1978-06-01,1978-06-01,86951,0
1978-07-01,1978-07-01,87205,0
1978-08-01,1978-08-01,87481,0
1978-09-01,1978-09-01,87618,0
1978-10-01,1978-10-01,87954,0
1978-11-01,1978-11-01,88391,0
1978-12-01,1978-12-01,88673,0
1979-01-01,1979-01-01,88810,0
1979-02-01,1979-02-01,89054,0
1979-03-01,1979-03-01,89480,0
1979-04-01,1979-04-01,89418,0
1979-05-01,1979-05-01,89791,0
1979-06-01,1979-06-01,90109,0
1979-07-01,1979-07-01,90215,0
1979-08-01,1979-08-01,90297,0
1979-09-01,1979-09-01,90325,0
1979-10-01,1979-10-01,90482,0
1979-11-01,1979-11-01,90576,0
1979-12-01,1979-12-01,90673,0
1980-01-01,1980-01-01,90802,1
1980-02-01,1980-02-01,90882,0
1980-03-01,1980-03-01,90994,0
1980-04-01,1980-04-01,90850,0
1980-05-01,1980-05-01,90419,0
1980-06-01,1980-06-01,90099,0
1980-07-01,1980-07-01,89837,0
1980-08-01,1980-08-01,90097,0
1980-09-01,1980-09-01,90210,0
1980-10-01,1980-10-01,90491,0
1980-11-01,1980-11-01,90748,0
1980-12-01,1980-12-01,90943,0
1981-01-01,1981-01-01,91037,0
1981-02-01,1981-02-01,91105,0
1981-03-01,1981-03-01,91210,0
1981-04-01,1981-04-01,91283,0
1981-05-01,1981-05-01,91293,0
1981-06-01,1981-06-01,91490,0
1981-07-01,1981-07-01,91602,1
1981-08-01,1981-08-01,91566,0
1981-09-01,1981-09-01,91479,0
1981-10-01,1981-10-01,91380,0
1981-11-01,1981-11-01,91171,0
1981-12-01,1981-12-01,90893,0
1982-01-01,1982-01-01,90567,0
1982-02-01,1982-02-01,90562,0
1982-03-01,1982-03-01,90432,0
1982-04-01,1982-04-01,90152,0
1982-05-01,1982-05-01,90107,0
1982-06-01,1982-06-01,89864,0
1982-07-01,1982-07-01,89522,0
1982-08-01,1982-08-01,89364,0
1982-09-01,1982-09-01,89183,0
1982-10-01,1982-10-01,88906,0
1982-11-01,1982-11-01,88783,0
1982-12-01,1982-12-01,88769,0
1983-01-01,1983-01-01,88993,0
1983-02-01,1983-02-01,88918,0
1983-03-01,1983-03-01,89090,0
1983-04-01,1983-04-01,89366,0
1983-05-01,1983-05-01,89643,0
1983-06-01,1983-06-01,90022,0
1983-07-01,1983-07-01,90440,0
1983-08-01,1983-08-01,90132,0
1983-09-01,1983-09-01,91247,0
1983-10-01,1983-10-01,91518,0
1983-11-01,1983-11-01,91871,0
1983-12-01,1983-12-01,92227,0
1984-01-01,1984-01-01,92673,0
1984-02-01,1984-02-01,93154,0
1984-03-01,1984-03-01,93429,0
1984-04-01,1984-04-01,93792,0
1984-05-01,1984-05-01,94100,0
1984-06-01,1984-06-01,94479,0
1984-07-01,1984-07-01,94792,0
1984-08-01,1984-08-01,95034,0
1984-09-01,1984-09-01,95344,0
1984-10-01,1984-10-01,95630,0
1984-11-01,1984-11-01,95979,0
1984-12-01,1984-12-01,96107,0
1985-01-01,1985-01-01,96373,0
1985-02-01,1985-02-01,96497,0
1985-03-01,1985-03-01,96843,0
1985-04-01,1985-04-01,97039,0
1985-05-01,1985-05-01,97313,0
1985-06-01,1985-06-01,97459,0
1985-07-01,1985-07-01,97649,0
1985-08-01,1985-08-01,97842,0
1985-09-01,1985-09-01,98045,0
1985-10-01,1985-10-01,98233,0
1985-11-01,1985-11-01,98442,0
1985-12-01,1985-12-01,98609,0
1986-01-01,1986-01-01,98734,0
1986-02-01,1986-02-01,98841,0
1986-03-01,1986-03-01,98935,0
1986-04-01,1986-04-01,99122,0
1986-05-01,1986-05-01,99249,0
1986-06-01,1986-06-01,99155,0
1986-07-01,1986-07-01,99473,0
1986-08-01,1986-08-01,99587,0
1986-09-01,1986-09-01,99934,0
1986-10-01,1986-10-01,100120,0
1986-11-01,1986-11-01,100306,0
1986-12-01,1986-12-01,100511,0
1987-01-01,1987-01-01,100683,0
1987-02-01,1987-02-01,100915,0
1987-03-01,1987-03-01,101164,0
1987-04-01,1987-04-01,101502,0
1987-05-01,1987-05-01,101728,0
1987-06-01,1987-06-01,101900,0
1987-07-01,1987-07-01,102247,0
1987-08-01,1987-08-01,102418,0
1987-09-01,1987-09-01,102646,0
1987-10-01,1987-10-01,103138,0
1987-11-01,1987-11-01,103370,0
1987-12-01,1987-12-01,103664,0
1988-01-01,1988-01-01,103758,0
1988-02-01,1988-02-01,104211,0
1988-03-01,1988-03-01,104487,0
1988-04-01,1988-04-01,104732,0
1988-05-01,1988-05-01,104961,0
1988-06-01,1988-06-01,105324,0
1988-07-01,1988-07-01,105546,0
1988-08-01,1988-08-01,105670,0
1988-09-01,1988-09-01,106009,0
1988-10-01,1988-10-01,106277,0
1988-11-01,1988-11-01,106616,0
1988-12-01,1988-12-01,106906,0
1989-01-01,1989-01-01,107168,0
1989-02-01,1989-02-01,107426,0
1989-03-01,1989-03-01,107619,0
1989-04-01,1989-04-01,107792,0
1989-05-01,1989-05-01,107910,0
1989-06-01,1989-06-01,108026,0
1989-07-01,1989-07-01,108066,0
1989-08-01,1989-08-01,108115,0
1989-09-01,1989-09-01,108365,0
1989-10-01,1989-10-01,108476,0
1989-11-01,1989-11-01,108753,0
1989-12-01,1989-12-01,108849,0
1990-01-01,1990-01-01,109184,0
1990-02-01,1990-02-01,109433,0
1990-03-01,1990-03-01,109647,0
1990-04-01,1990-04-01,109687,0
1990-05-01,1990-05-01,109838,0
1990-06-01,1990-06-01,109862,0
1990-07-01,1990-07-01,109830,1
1990-08-01,1990-08-01,109614,0
1990-09-01,1990-09-01,109525,0
1990-10-01,1990-10-01,109366,0
1990-11-01,1990-11-01,109216,0
1990-12-01,1990-12-01,109160,0
1991-01-01,1991-01-01,109040,0
1991-02-01,1991-02-01,108735,0
1991-03-01,1991-03-01,108577,0
1991-04-01,1991-04-01,108366,0
1991-05-01,1991-05-01,108241,0
1991-06-01,1991-06-01,108338,0
1991-07-01,1991-07-01,108298,0
1991-08-01,1991-08-01,108308,0
1991-09-01,1991-09-01,108340,0
1991-10-01,1991-10-01,108357,0
1991-11-01,1991-11-01,108299,0
1991-12-01,1991-12-01,108325,0
1992-01-01,1992-01-01,108377,0
1992-02-01,1992-02-01,108314,0
1992-03-01,1992-03-01,108368,0
1992-04-01,1992-04-01,108527,0
1992-05-01,1992-05-01,108653,0
1992-06-01,1992-06-01,108721,0
1992-07-01,1992-07-01,108792,0
1992-08-01,1992-08-01,108930,0
1992-09-01,1992-09-01,108966,0
1992-10-01,1992-10-01,109148,0
1992-11-01,1992-11-01,109284,0
1992-12-01,1992-12-01,109496,0
1993-01-01,1993-01-01,109805,0
1993-02-01,1993-02-01,110047,0
1993-03-01,1993-03-01,109998,0
1993-04-01,1993-04-01,110306,0
1993-05-01,1993-05-01,110572,0
1993-06-01,1993-06-01,110754,0
1993-07-01,1993-07-01,111055,0
1993-08-01,1993-08-01,111211,0
1993-09-01,1993-09-01,111451,0
1993-10-01,1993-10-01,111737,0
1993-11-01,1993-11-01,112000,0
1993-12-01,1993-12-01,112312,0
1994-01-01,1994-01-01,112583,0
1994-02-01,1994-02-01,112783,0
1994-03-01,1994-03-01,113248,0
1994-04-01,1994-04-01,113598,0
1994-05-01,1994-05-01,113931,0
1994-06-01,1994-06-01,114246,0
1994-07-01,1994-07-01,114619,0
1994-08-01,1994-08-01,114901,0
1994-09-01,1994-09-01,115254,0
1994-10-01,1994-10-01,115467,0
1994-11-01,1994-11-01,115887,0
1994-12-01,1994-12-01,116164,0
1995-01-01,1995-01-01,116488,0
1995-02-01,1995-02-01,116692,0
1995-03-01,1995-03-01,116913,0
1995-04-01,1995-04-01,117075,0
1995-05-01,1995-05-01,117060,0
1995-06-01,1995-06-01,117294,0
1995-07-01,1995-07-01,117390,0
1995-08-01,1995-08-01,117643,0
1995-09-01,1995-09-01,117887,0
1995-10-01,1995-10-01,118040,0
1995-11-01,1995-11-01,118189,0
1995-12-01,1995-12-01,118322,0
1996-01-01,1996-01-01,118303,0
1996-02-01,1996-02-01,118735,0
1996-03-01,1996-03-01,119002,0
1996-04-01,1996-04-01,119165,0
1996-05-01,1996-05-01,119487,0
1996-06-01,1996-06-01,119774,0
1996-07-01,1996-07-01,120023,0
1996-08-01,1996-08-01,120202,0
1996-09-01,1996-09-01,120427,0
1996-10-01,1996-10-01,120677,0
1996-11-01,1996-11-01,120976,0
1996-12-01,1996-12-01,121147,0
1997-01-01,1997-01-01,121381,0
1997-02-01,1997-02-01,121684,0
1997-03-01,1997-03-01,122000,0
1997-04-01,1997-04-01,122292,0
1997-05-01,1997-05-01,122552,0
1997-06-01,1997-06-01,122818,0
1997-07-01,1997-07-01,123124,0
1997-08-01,1997-08-01,123093,0
1997-09-01,1997-09-01,123605,0
1997-10-01,1997-10-01,123945,0
1997-11-01,1997-11-01,124251,0
1997-12-01,1997-12-01,124554,0
1998-01-01,1998-01-01,124830,0
1998-02-01,1998-02-01,125026,0
1998-03-01,1998-03-01,125177,0
1998-04-01,1998-04-01,125457,0
1998-05-01,1998-05-01,125861,0
1998-06-01,1998-06-01,126080,0
1998-07-01,1998-07-01,126209,0
1998-08-01,1998-08-01,126551,0
1998-09-01,1998-09-01,126774,0
1998-10-01,1998-10-01,126973,0
1998-11-01,1998-11-01,127255,0
1998-12-01,1998-12-01,127601,0
1999-01-01,1999-01-01,127727,0
1999-02-01,1999-02-01,128137,0
1999-03-01,1999-03-01,128244,0
1999-04-01,1999-04-01,128620,0
